date;banque;indicateur;pays;valeur;activité filiale
2014-12-31;BNP;FILIALES;Belgique;Sagip;Sociétés de portefeuille et autres filiales
2014-12-31;BNP;FILIALES;Bermudes;Cronos Holding Company Ltd (Groupe);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Botswana;RCS Botswana Propreietary Ltd;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;Arval Brasil Limitada;Arval
2014-12-31;BNP;FILIALES;Brésil;Cardif do Brasil Seguros e Garantias;Assurance
2014-12-31;BNP;FILIALES;Brésil;Cardif do Brasil Vida e Previdencia SA;Assurance
2014-12-31;BNP;FILIALES;Brésil;Luizaseg;Assurance
2014-12-31;BNP;FILIALES;Brésil;NCVP Participacoes Societarias SA;Assurance
2014-12-31;BNP;FILIALES;Brésil;Banco BNP Paribas Brasil SA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;Banco Cetelem SA (ex- Banco BGN SA);Personal Finance
2014-12-31;BNP;FILIALES;Brésil;BNP Paribas EQD Brazil Fund Fundo Invest Multimercado;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;BNP Paribas proprietario Fundo de investimento Multimercado;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Brésil;BNP Paribas Asset Management Brasil Ltda;Investment Partners
2014-12-31;BNP;FILIALES;Brésil;BGN Mercantil E Servicios Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;Cetelem America Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;Cetelem Brasil SA;Personal Finance
2014-12-31;BNP;FILIALES;Brésil;Cetelem Servicos Ltda;Personal Finance
2014-12-31;BNP;FILIALES;Bulgarie;Cardif Assurance Vie (succ. Bulgarie);Assurance
2014-12-31;BNP;FILIALES;Bulgarie;Cardif Assurances Risques Divers (succ. Bulgarie);Assurance
2014-12-31;BNP;FILIALES;Bulgarie;BNP Paribas SA (succ. Bulgarie);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Bulgarie;Direct Services ;Personal Finance
2014-12-31;BNP;FILIALES;Bulgarie;BNP Paribas Personal Finance EAD;Personal Finance
2014-12-31;BNP;FILIALES;Burkina Faso;Banque Internationale du commerce et de l'industrie Burkina Faso;Europe Méditerranée
2014-12-31;BNP;FILIALES;Canada;BNP Paribas (Canada) Valeurs mobilières;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;BNP Paribas Canada;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;BNP Paribas Energy Trading Canada Corp;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Canada;BNP Paribas SA (succ. Canada);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chili;BNP Paribas Cardif Seguros de Vida SA;Assurance
2014-12-31;BNP;FILIALES;Chili;BNP Paribas Cardif Seguros Generales SA;Assurance
2014-12-31;BNP;FILIALES;Chili;Cardif Extension de Garantia y Asistencia Limitada;Assurance
2014-12-31;BNP;FILIALES;Chili;Banco Estado Administradora General de Fondos;Investment Partners
2014-12-31;BNP;FILIALES;Chine;Arval China Co Ltd;Arval
2014-12-31;BNP;FILIALES;Chine;BOB - Cardif Life Insurance Company Ltd;Assurance
2014-12-31;BNP;FILIALES;Chine;BNP Paribas (China) Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;BNP Paribas Commodities Trading (Shangaï) Co Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;BNP Paribas SA (succ. Chine);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Chine;Banque de Nankin;Europe Méditerranée
2014-12-31;BNP;FILIALES;Chine;Haitong - Fortis Private Equity Fund Management Co. Ltd;Investment Partners
2014-12-31;BNP;FILIALES;Chine;HFT Investment Management Co Ltd (Groupe);Investment Partners
2014-12-31;BNP;FILIALES;Colombie;Cardif Colombia Suguros Generales;Assurance
2014-12-31;BNP;FILIALES;Colombie;BNP Paribas Colombia Corporation Financiera SA;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;BNP Paribas General Insurance Co Ltd;Assurance
2014-12-31;BNP;FILIALES;Corée du Sud;Cardif Life Insurance Co. Ltd;Assurance
2014-12-31;BNP;FILIALES;Corée du Sud;BNP Paribas SA (succ. République de Corée);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;BNP Paribas Securities Korea Company Ltd;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Corée du Sud;Shinhan BNP Paribas Asset Management Co Ltd;Investment Partners
2014-12-31;BNP;FILIALES;Côte d'Ivoire;Banque Internationale du commerce et de l'industrie Côte d'Ivoire;Europe Méditerranée
2014-12-31;BNP;FILIALES;Danemark;Arval A/S;Arval
2014-12-31;BNP;FILIALES;Danemark;Cardif Forsakring AB (succ. Danemark);Assurance
2014-12-31;BNP;FILIALES;Danemark;Cardif livforsakring AB (succ. Danemark);Assurance
2014-12-31;BNP;FILIALES;Danemark;BNP Paribas Fortis (succ. Danemark);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Danemark;Alfred Berg Asset Management AB (succ. Danemark);Investment Partners
2014-12-31;BNP;FILIALES;Danemark;EkspresBank;Personal Finance
2014-12-31;BNP;FILIALES;Émirats Arabes Unis;BNP Paribas Real Estate Advisory & Property Management LLC;Services immobiliers
2014-12-31;BNP;FILIALES;Émirats Arabes Unis;BNP Paribas SA (succ. Émirats Arabes Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;Arval Service Lease SA;Arval
2014-12-31;BNP;FILIALES;Espagne;Cardif Assurance Vie (succ. Espagne);Assurance
2014-12-31;BNP;FILIALES;Espagne;Cardif Assurances Risques Divers (succ. Espagne);Assurance
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Factor (succ. Espagne);Banque de détail
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Fortis (succ. Espagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas SA (succ. Espagne);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;Ribera del Loira Arbitrage;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;SC Nueva Condo Murcia SL;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Lease Group BPLG (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;Claas Financial Services (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;CNH Industrial Capital Europe (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;Fortis Lease Iberia SA;Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;JCB Finance (succ. Espagne);Leasing solutions
2014-12-31;BNP;FILIALES;Espagne;Effico iberia SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Eurocredito EFC SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;FCC U.C.I 5-18;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Fimesctic Expansion SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Servicios Financieros Carrefour EFC;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Union de Creditos Inmobiliaros - UCI (Groupe);Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Banco Cetelem SA;Personal Finance
2014-12-31;BNP;FILIALES;Espagne;Cortal Consors (succ. Espagne);Personal Investors
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Securities Services - B2PS (succ. Espagne) ;Securities Services
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Real Estate Advisory Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Real Estate Investment Management Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Real Estate Property Management Spain SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;Meunier Hispania;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;Tasaciones Hipotecarias SA;Services immobiliers
2014-12-31;BNP;FILIALES;Espagne;Ejesur SA;Sociétés immobilières d'Exploitation
2014-12-31;BNP;FILIALES;Espagne;BNP Paribas Espana SA;Wealth Management
2014-12-31;BNP;FILIALES;États-Unis;1897 Services Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Bancwest Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Bancwest Investment Services, Inc.;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Bank of the West;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Bank of the West Business Park Association LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Bishop Sreet capital Management Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;BOW Auto receivables LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;BOW Auto Trust LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;BW Insurance Agency, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Center Club, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;CFB Community Development corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Claas Financial Services LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal affordable Housing, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal Community Development corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal Insurance Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal Investment Service Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal Realty Investors Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Commercial Federal Service Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Community Service, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Equipment Lot FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Equipment Lot Siemens 1998A - FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Equity Lending Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Essex Credit Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;FHB Guam Trust Co;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;FHL SPC One, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First Bancorp;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First Hawaïan Bank;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First Hawaïan Capital 1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First Hawaïan leasing inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First National Bancorporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;First Santa Clara Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Glendale Corporate Center Acquisition LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;LACMTA Rail statutory Trust (FH1);Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Lexington Blue LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Liberty Leasing company;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;MNCRC Equipement Lot ;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Mountain Falls Acquisition Corporation;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Real Estate Delivery 2 Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Riverwalk village Three Holdings LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Santa Rita Town Homes Acquisition LLC;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Southwest Airlines 1993 Trust N363 SW;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;ST 2001 FH-1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;SWB 99-1;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;The bankers Club, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Ursus Real Estate, Inc;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;VTA 1998 - FH;Banque de détail
2014-12-31;BNP;FILIALES;États-Unis;Banexi Holding Corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Arbitrage (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Capital Services Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas CC Inc (ex - BNP Paribas Capital Corporation Inc);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Energy Trading GP;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Energy Trading Holdings Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Energy Trading LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Finance Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Fortis (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas FS LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Leasing corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Mortgage corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas North America Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Prime Brokerage Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas RCC Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas SA (succ. Etats-Unis);Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Securities Corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Adonis LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG BMC Select LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Brookfin LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Brookline Cre LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG CB LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG CT Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG EDMC Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Freedom Communications LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Lake Butler LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Legacy Cabinets LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Marc IV LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Master LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Medianews Group LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG MGM LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Modern Luxury Media LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG  Northstar LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VGP PCMC LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Reader's Digest association LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG SBX Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG SDI Media Holdings LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Semgroup LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas VPG Titan outdoor LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;FB Transportation Capital LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Fortis Funding LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;French American Banking Corporation - F.A.B.C;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;FSI Holdings Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Madison Arbor LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Matchpoint Master Trust;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Paribas North America Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Scaldis Capital LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Starbird Funding corporation;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Tender option bond municipal program;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Via North America, Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;VPG SDI Media LLC;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;Alamo Funding II Inc;Corporate and Investment Banking
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Asset Management Inc.;Investment Partners
2014-12-31;BNP;FILIALES;États-Unis;BNP Paribas Investment Partners USA Holdings Inc;Investment Partners
2014-12-31;BNP;FILIALES;États-Unis;Fischer Francis Trees & Watts Inc;Investment Partners
2014-12-31;BNP;FILIALES;États-Unis;Claas Financial Services Inc;Leasing solutions
